"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bosnia and Herzegovina","Honduras","2015.0","Export","","","",""
"Bosnia and Herzegovina","Croatia","2015.0","Export","1771.0","60.51","524453.13","10.29"
"Bosnia and Herzegovina","Haiti","2015.0","Export","1.0","0.03","0.02","0.0"
"Bosnia and Herzegovina","Hungary","2015.0","Export","262.0","8.95","106960.3","2.1"
"Bosnia and Herzegovina","Indonesia","2015.0","Export","7.0","0.24","89.9","0.0"
"Bosnia and Herzegovina","India","2015.0","Export","46.0","1.57","1389.24","0.03"
"Bosnia and Herzegovina","British Indian Ocean Ter.","2015.0","Export","","","",""
"Bosnia and Herzegovina","Ireland","2015.0","Export","34.0","1.16","532.93","0.01"
"Bosnia and Herzegovina","Iran, Islamic Rep.","2015.0","Export","29.0","0.99","940.67","0.02"
"Bosnia and Herzegovina","Iraq","2015.0","Export","19.0","0.65","386.83","0.01"
"Bosnia and Herzegovina","Iceland","2015.0","Export","14.0","0.48","21.52","0.0"
"Bosnia and Herzegovina","Israel","2015.0","Export","32.0","1.09","911.26","0.02"
"Bosnia and Herzegovina","Italy","2015.0","Export","894.0","30.54","689262.38","13.52"
"Bosnia and Herzegovina","Jordan","2015.0","Export","30.0","1.02","2752.05","0.05"
"Bosnia and Herzegovina","Japan","2015.0","Export","32.0","1.09","824.16","0.02"
"Bosnia and Herzegovina","Kazakhstan","2015.0","Export","12.0","0.41","269.3","0.01"
"Bosnia and Herzegovina","Kenya","2015.0","Export","","","",""
"Bosnia and Herzegovina","Kyrgyz Republic","2015.0","Export","1.0","0.03","24.41","0.0"
"Bosnia and Herzegovina","Cambodia","2015.0","Export","7.0","0.24","0.04","0.0"
"Bosnia and Herzegovina","St. Kitts and Nevis","2015.0","Export","13.0","0.44","157.59","0.0"
"Bosnia and Herzegovina","Korea, Rep.","2015.0","Export","37.0","1.26","3627.39","0.07"
"Bosnia and Herzegovina","Kuwait","2015.0","Export","33.0","1.13","1301.61","0.03"
"Bosnia and Herzegovina","Lao PDR","2015.0","Export","","","",""
"Bosnia and Herzegovina","Lebanon","2015.0","Export","16.0","0.55","775.15","0.02"
"Bosnia and Herzegovina","Liberia","2015.0","Export","1.0","0.03","971.2","0.02"
"Bosnia and Herzegovina","Libya","2015.0","Export","79.0","2.7","1399.57","0.03"
"Bosnia and Herzegovina","Latin America & Caribbean","2015.0","Export","61.0","2.08","4444.28","0.09"
"Bosnia and Herzegovina","Sri Lanka","2015.0","Export","3.0","0.1","320.33","0.01"
"Bosnia and Herzegovina","Lesotho","2015.0","Export","","","",""
"Bosnia and Herzegovina","Lithuania","2015.0","Export","19.0","0.65","611.09","0.01"
"Bosnia and Herzegovina","Luxembourg","2015.0","Export","138.0","4.71","31748.7","0.62"
"Bosnia and Herzegovina","Latvia","2015.0","Export","19.0","0.65","326.9","0.01"
"Bosnia and Herzegovina","Macao","2015.0","Export","1.0","0.03","14.76","0.0"
"Bosnia and Herzegovina","Morocco","2015.0","Export","6.0","0.2","5714.88","0.11"
"Bosnia and Herzegovina","Moldova","2015.0","Export","12.0","0.41","1645.18","0.03"
"Bosnia and Herzegovina","Madagascar","2015.0","Export","","","",""
"Bosnia and Herzegovina","Maldives","2015.0","Export","","","",""
"Bosnia and Herzegovina","Middle East & North Africa","2015.0","Export","444.0","15.17","80032.25","1.57"
"Bosnia and Herzegovina","Mexico","2015.0","Export","9.0","0.31","3420.37","0.07"
"Bosnia and Herzegovina","Macedonia, FYR","2015.0","Export","576.0","19.68","64677.52","1.27"
"Bosnia and Herzegovina","Mali","2015.0","Export","","","",""
"Bosnia and Herzegovina","Malta","2015.0","Export","13.0","0.44","103.56","0.0"
"Bosnia and Herzegovina","Myanmar","2015.0","Export","","","",""
"Bosnia and Herzegovina","Mongolia","2015.0","Export","24.0","0.82","52.99","0.0"
"Bosnia and Herzegovina","Montenegro","2015.0","Export","1567.0","53.54","149089.63","2.92"
"Bosnia and Herzegovina","Mozambique","2015.0","Export","1.0","0.03","0.41","0.0"
"Bosnia and Herzegovina","Mauritania","2015.0","Export","4.0","0.14","1.97","0.0"
"Bosnia and Herzegovina","Mauritius","2015.0","Export","","","",""
"Bosnia and Herzegovina","Malawi","2015.0","Export","9.0","0.31","0.27","0.0"
"Bosnia and Herzegovina","Malaysia","2015.0","Export","3.0","0.1","0.49","0.0"
"Bosnia and Herzegovina","North America","2015.0","Export","267.0","9.12","31363.84","0.62"
"Bosnia and Herzegovina","Namibia","2015.0","Export","1.0","0.03","3.33","0.0"
"Bosnia and Herzegovina","New Caledonia","2015.0","Export","1.0","0.03","2.41","0.0"
"Bosnia and Herzegovina","Niger","2015.0","Export","7.0","0.24","96.56","0.0"
"Bosnia and Herzegovina","Nigeria","2015.0","Export","33.0","1.13","149.35","0.0"
