NomenclatureCode,Nomenclature,ProductGroup,ProductGroupDescription,ProductCode,ProductDescription
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,2806AA,  UN Special Code
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,280700,Sulphuric acid; oleum
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,280800,Nitric acid; sulphonitric acids
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,280910,Diphosphorus pentaoxide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,280920,Phosphoric acid and polyphosphoric acids
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281000,Oxides of boron; boric acids
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281111,Hydrogen fluoride (hydrofluoric acid)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281119,"Other inorganic acids, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281121,Carbon dioxide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281122,Silicon dioxide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281123,Sulphur dioxide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281129,"Other inorganic oxygen compounds of non-metals,"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281210,Chlorides and chlorides oxides of non-metals
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281290,"Halides and halide oxides of non-metals, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281310,Carbon disulphide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281390,Sulphides of non-metals (excl. carbon)commercia
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281410,Anhydrous ammonia
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281420,Ammonia in aqueous solution
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281511,"Sodium hydroxide (caustic soda), solid"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281512,Sodium hydroxide in aqueous solution (soda lye
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281520,Potassium hydroxide (caustic potash)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281530,Peroxides of sodium or potassium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,2815AA,  UN Special Code
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281610,Hydroxide and peroxide of magnesium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281620,"Oxide, hydroxide and peroxide of strontium"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281630,"Oxide, hydroxide and peroxide of barium"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281700,Zinc oxide; zinc peroxide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281810,"Artificial corundum, whether or not chemically"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281820,"Aluminium oxide, other than artificial corundum"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281830,Aluminium hydroxide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281910,Chromium trioxide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,281990,Chromium oxides and hydroxides (excl. chromium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282010,Manganese dioxide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282090,Manganese oxides (excl. manganese dioxide)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282110,Iron oxides and hydroxides
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282120,Earth colours containing >=70% iron(III)oxide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282200,Cobalt oxides and hydroxides; commercial cobalt
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282300,Titanium oxides
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282410,"Lead monoxide (litharge, massicot)"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282420,Red lead and orange lead
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282490,"Lead oxides, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282510,Hydrazine and hydroxylamine and their inorganic
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282520,Lithium oxide and hydroxide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282530,Vanadium oxides and hydroxides
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282540,Nickel oxides and hydroxides
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282550,Copper oxides and hydroxides
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282560,Germanium oxides and zirconium dioxides
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282570,Molybdenum oxides and hydroxides
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282580,Antimony oxides
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282590,"Other inorganic bases; other metal oxides, hydr"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282611,Fluorides of ammonium or of sodium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282612,Fluorides of aluminium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282619,"Fluorides, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282620,Fluorosilicates of sodium or of potassium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282630,Sodium hexafloroaluminate (synthetic cryolite)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282690,Fluoroaluminates and other complex fluorine sal
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282710,Ammonium chloride
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282720,Calcium chloride
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282731,Magnesium chloride
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282732,Aluminium chloride
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282733,Iron chloride
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282734,Cobalt chloride
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282735,Nickel chloride
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282736,Zinc chloride
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282737,Tin chloride
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282738,Barium chloride
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282739,"Chlorides, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282741,Chloride oxides and chloride hydroxides of copp
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282749,Chloride oxides and chloride hydroxides (excl.
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282751,Bromides of sodium or of potassium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282759,Bromides and bromide oxides (excl. of sodium an
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282760,Iodides and iodide oxides
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282810,Commercial calcium hypochlorite and other calci
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282890,Hypochlorites (excl. of calcium) and chlorites;
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282911,Chlorates of sodium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282919,Chlorates (excl. of sodium)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,282990,Perchlorates; bromates and perbromates; iodates
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283010,Sodium sulphides
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283020,Zinc sulphide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283030,Cadmium sulphide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283090,Other sulphides and polysulphides
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283110,Dithionites and sulphoxylates of sodium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283190,Dithionites and sulphoxylates (excl. of sodium)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283210,Sodium sulphites
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283220,Sulphites (excl. sodium)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283230,Thiosulphates
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283311,Disodium sulphate
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283319,Sodium sulphates (excl. disodium sulphate)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283321,Sulphates of magnesium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283322,Sulphates of aluminium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283323,Sulphates of chromium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283324,Sulphates of nickel
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283325,Sulphates of copper
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283326,Sulphates of zinc
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283327,Sulphates of barium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283329,"Other sulphates, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283330,Alums
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283340,Peroxosulphates (persulphates)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283410,Nitrites
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283421,Nitrates of potassium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283422,Nitrates of bismuth
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283429,Nitrates of barium; of beryllium; of cadmium; o
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283510,Phosphinates and phosphonates
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283521,Phosphates of triammonium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283522,Phosphates of mono or disodium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283523,Phosphates of trisodium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283524,Phosphates of potassium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283525,Calcium hydrogenorthophosphate (dicalcium phosp
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283526,"Phosphates of calcium, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283529,Phosphates (excl. polyphosphates)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283531,Sodium triphosphate (sodium tripolyphosphates)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283539,"Polyphosphates, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283610,Commercial ammonium carbonate and other ammoniu
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283620,Disodium carbonate
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283630,Sodium hydrogencarbonate (sodium bicarbonate)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283640,Potassium carbonates
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283650,Calcium carbonate
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283660,Barium carbonate
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283670,Lead carbonate
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283691,Lithium carbonates
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283692,Strontium carbonate
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283693,Bismuth carbonate
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283699,Other carbonates; peroxocarbonates
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283711,Cyanides and cyanide oxides of sodium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283719,"Cyanides, cyanide oxides (excl. sodium)"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283720,Complex cyanides
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283800,Fulminates; cyanates and thiocyanates
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283911,Sodium metasilicates
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283919,Silicates of sodium (excl. metasilicates)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283920,Silicates of potassium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,283990,Other silicates (excl. of sodium and potassium)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284011,Anhydrous disodium tetraborate (refined borax)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284019,"Disodium tetraborate, not anhydrous"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284020,"Other borates, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284030,Peroxoborates
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,2840AA,  UN Special Code
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284110,Aluminates
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284120,Chromates of zinc or of lead
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284130,Sodium dichromate
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284140,Potassium dichromate
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284150,"Other chromates and dichromates, nes; peroxochr"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284160,"Manganites, manganates and permanganates"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284170,Molybdates
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284180,Tungstates (wolframates)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284190,Other salts of oxometallic and peroxometallic a
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284210,Double or complex silicates
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284290,Other salts of inorganic acids or peroxoacids (
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284310,Colloidal precious metals
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284321,Silver nitrate
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284329,Silver compounds (excl. silver nitrate)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284330,Gold compounds
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284390,"Other compounds, nes, and amalgams of precious"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284410,"Natural uranium and its compounds, etc"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284420,Enriched uranium and plutonium and their compou
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284430,Depleted uranium and thorium and their compound
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284440,Radioactive elements/isotopes and their compoun
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284450,Spent (irradiated) fuel elements (cartridges) o
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284510,Heavy water (deuterium oxide)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284590,Other isotopes and their inorganic or organic c
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284610,Cerium compounds
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284690,"Compounds, inorganic or organic, of rare-earth"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284700,Hydrogen peroxide
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284810,"Phosphides of copper (phosphor copper), contain"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284890,"Phosphides of other metals, nes, or of non-meta"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284910,Carbides of calcium
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284920,Carbides of silicon
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,284990,Other carbides (excl. of calcium and silicon)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,285000,"Hydrides, nitrides, azides, silicides and borid"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,285100,Other inorganic compounds; liquid air; compress
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290110,"Acyclic hydrocarbons, saturated"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290121,Ethylene
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290122,Propene (propylene)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290123,Butene (butylene) and isomers thereof
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290124,"Buta-1,3-diene and isoprene"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290129,"Unsaturated acyclic hydrocarbons, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290211,Cyclohexane
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290219,"Cyclanes, cyclenes and cycloterpenes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290220,Benzene
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290230,Toluene
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290241,o-Xylene
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290242,m-Xylene
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290243,p-Xylene
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290244,Mixed xylene isomers
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290250,Styrene
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290260,Ethylbenzene
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290270,Cumene
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290290,"Other cyclic hydrocarbons, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290311,Chloromethane (methyl chloride) and chloroethan
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290312,Dichloromethane (methylene chloride)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290313,Chloroform (trichloromethane)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290314,Carbon tetrachloride
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290315,"1,2-Dichloroethane (ethylene dichloride)"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290316,"1,2-Dichloropropane (propylene dichloride) and"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290319,Saturated chlorinated derivatives of acyclic hy
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290321,Vinyl chloride (chloroethylene)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290322,Trichloroethylene
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290323,Tetrachloroethylene (perchloroethylene)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290329,Unsaturated chlorinated derivatives of acyclic
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290330,"Fluorinated, brominated or iodinated derivitive"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290340,Halogenated derivatives of acyclic hydrocarbons
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290351,"1,2,3,4,5,6-Hexachlorocyclohexane"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290359,Halogenated derivatives of cyclanic... cycloter
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290361,"Chlorobenzene, o-dichlorobenzene and p-dichloro"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290362,"Hexachlorobenzene and DDT(1,1,1-trichloro-2,2-b"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290369,Halogenated derivatives of aromatic hydrocarbon
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290410,Hydrocarbon derivatives containing only sulpho
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290420,Hydrocarbon derivatives containing only nitro/n
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290490,"Sulphonated, nitrated or nitrosated derivatives"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290511,Methanol (methyl alcohol)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290512,Propan-1-ol (propyl alcohol) and propan-2-ol (i
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290513,Butan-1-ol (n-butyl alcohol)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290514,"Other butanols, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290515,Pentanol (amyl alcohol) and isomers thereof
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290516,Octanol (octyl alcohol) and isomers thereof
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290517,"Dodecan-1-ol, hexadecan-1-ol and octadecan-1-ol"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290519,"Saturated monohydric alcohols, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290521,Allyl alcohol
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290522,Acyclic terpene alcohols
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290529,"Unsaturated monohydric alcohols, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290531,Ethylene glycol (ethanediol)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290532,"Propylene glycol (propane-1,2-diol)"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290539,"Other diols, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290541,"2-Ethyl-2-(hydroxymethyl)propane-1,3-diol (trim"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290542,Pentaerythritol
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290543,Mannitol
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290544,D-glucitol (sorbitol)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290549,"Other polyhydric alcohols, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290550,Halogenated... or nitrosated derivatives of acy
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290611,Menthol
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290612,"Cyclohexanol, methylcyclohexanols and dimethylc"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290613,Sterols and inositols
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290614,Terpineols
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290619,"Cyclanic, cyclenic or cycloterpenic alcohols an"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290621,Benzyl alcohol
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290629,"Aromatic alcohols and their derivatives, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290711,Phenol (hydroxybenzene) and its salts
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290712,Cresols and their salts
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290713,"Octylphenol, nonylphenol and their isomers; sal"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290714,Xylenols and their salts
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290715,Naphthols and their salts
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290719,"Other monophenols, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290721,Resorcinol and its salts
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290722,Hydroquinone (quinol) and its salts
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290723,"4,4-Isopropylidenediphenol (bisphenol A, diphen"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290729,"Other polyphenols, nes"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290730,Phenol-alcohols
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290810,Phenol or phenol-alcohol derivatives containing
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290820,Phenol or phenol-alcohol derivatives containing
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290890,Other halogenated... or nitrosated derivatives
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290911,Diethyl ether
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290919,Other acyclic ethers and their halogenated... d
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290920,"Cyclanic, cyclenic... ethers and their halogena"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290930,Aromatic ethers and their halogenated... deriva
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290941,"2,2-Oxydiethanol (diethylene glycol, digol)"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290942,Monomethyl ethers of ethylene glycol or of diet
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290943,Monobutyl ethers of ethylene glycol or of dieth
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290944,Other monoalkylethers of ethylene glycol or of
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290949,Other acyclic ether-alcohols and their halogena
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290950,"Ether-phenols, ether-alcohol-phenols and haloge"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,290960,"Alcohol, ether and ketone peroxides and their.."
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291010,Oxirane (ethylene oxide)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291020,Methyloxirane (propylene oxide)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291030,"1-Chloro-2,3-epoxypropane (epichlorohydrin)"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291090,Epoxides... with a three-membered ring and deri
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291100,Acetals and hemiacetals and their halogenated..
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291211,Methanal (formaldehyde)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291212,Ethanal (acetaldehyde)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291213,"Butanal (butyaldehyde, normal isomer)"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291219,"Other acyclic aldehydes, without oxygen functio"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291221,Benzaldehyde
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291229,"Other cyclic aldehydes, without oxygen function"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291230,Aldehyde-alcohols
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291241,Vanillin (4-hydroxy-3-methoxybenzaldehyde)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291242,Ethylvanillin (3-ethoxy-4-methoxybenzaldehyde)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291249,"Aldehyde-ethers, aldehyde-phenols, aldehydes, w"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291250,Cyclic polymers of aldehydes
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291260,Paraformaldehyde
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291300,"Halogenated, sulphonated, nitrated or nitrosate"
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291411,Acetone
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291412,Butanone (methyl ethyl ketone)
H0,HS 1988/92,UNCTAD-SoP2, Intermediate goods,291413,4-Methylpentan-2-one (methyl isobutyl ketone)
