NomenclatureCode,Nomenclature,ProductGroup,ProductGroupDescription,ProductCode,ProductDescription
H0,HS 1988/92,64-67_Footwear,Footwear,67,Prepr feathers & down; arti flower;  articles h
H0,HS 1988/92,68-71_StoneGlas,Stone and Glass,68,"Art of stone, plaster, cement, asbestos,  mica/"
H0,HS 1988/92,68-71_StoneGlas,Stone and Glass,69,Ceramic products.
H0,HS 1988/92,68-71_StoneGlas,Stone and Glass,70,Glass and glassware.
H0,HS 1988/92,68-71_StoneGlas,Stone and Glass,71,"Natural/cultured pearls, prec stones &  metals,"
H0,HS 1988/92,72-83_Metals,Metals,72,Iron and steel.
H0,HS 1988/92,72-83_Metals,Metals,73,Articles of iron or steel.
H0,HS 1988/92,72-83_Metals,Metals,74,Copper and articles thereof.
H0,HS 1988/92,72-83_Metals,Metals,75,Nickel and articles thereof.
H0,HS 1988/92,72-83_Metals,Metals,76,Aluminium and articles thereof.
H0,HS 1988/92,72-83_Metals,Metals,78,Lead and articles thereof.
H0,HS 1988/92,72-83_Metals,Metals,79,Zinc and articles thereof.
H0,HS 1988/92,72-83_Metals,Metals,80,Tin and articles thereof.
H0,HS 1988/92,72-83_Metals,Metals,81,Other base metals; cermets; articles  thereof.
H0,HS 1988/92,72-83_Metals,Metals,82,"Tool, implement, cutlery, spoon & fork,  of bas"
H0,HS 1988/92,72-83_Metals,Metals,83,Miscellaneous articles of base metal.
H0,HS 1988/92,84-85_MachElec,Mach and Elec,84,"Nuclear reactors, boilers, mchy & mech  applian"
H0,HS 1988/92,84-85_MachElec,Mach and Elec,85,Electrical mchy equip parts thereof;  sound rec
H0,HS 1988/92,86-89_Transport,Transportation,86,"Railw/tramw locom, rolling-stock & parts  there"
H0,HS 1988/92,86-89_Transport,Transportation,87,"Vehicles o/t railw/tramw roll-stock, pts  & acc"
H0,HS 1988/92,86-89_Transport,Transportation,88,"Aircraft, spacecraft, and parts thereof."
H0,HS 1988/92,86-89_Transport,Transportation,89,"Ships, boats and floating structures."
H0,HS 1988/92,90-99_Miscellan,Miscellaneous,90,"Optical, photo, cine, meas, checking,  precisio"
